,legislador_id,agrupacion,agrupacion_color,camara,mail,nombre,partido
26,327,Kirchnerismo y aliados..,#007caf,diputados,sleverberg@diputados.gob.ar,"LEVERBERG,  Stella Maris",FRENTE PARA LA VICTORIA
27,332,,,diputados,,"LLANOS,  Ermindo Edgardo Marcelo",FRENTE PARA LA VICTORIA
28,666,Kirchnerismo y aliados..,#007caf,diputados,ilotto@diputados.gob.ar,"lotto,  inés beatriz",FRENTE PARA LA VICTORIA
29,364,Massismo y aliados,#b185b7,diputados,omartinez@diputados.gob.ar,"MARTINEZ,  Oscar Ariel",FRENTE PARA LA VICTORIA
30,371,Kirchnerismo y aliados..,#007caf,diputados,mmendoza@diputados.gob.ar,"MENDOZA,  Mayra Soledad",FRENTE PARA LA VICTORIA
31,372,Kirchnerismo y aliados..,#007caf,diputados,smendoza@diputados.gob.ar,"MENDOZA,  Sandra Marcela",FRENTE PARA LA VICTORIA
32,445,Kirchnerismo y aliados..,#007caf,diputados,hpietragallac@diputados.gob.ar,"PIETRAGALLA CORTI,  Horacio",FRENTE PARA LA VICTORIA
33,446,,,diputados,maria.pilattivergara@senado.gov.ar ,"PILATTI VERGARA.,  María Inés",FRENTE PARA LA VICTORIA
34,522,Kirchnerismo y aliados..,#007caf,diputados,ssimoncini@diputados.gob.ar,"SIMONCINI,  Silvia Rosa",FRENTE PARA LA VICTORIA
35,527,Kirchnerismo y aliados..,#007caf,diputados,jsolanas@diputados.gob.ar,"SOLANAS,  Julio Rodolfo",FRENTE PARA LA VICTORIA
36,530,Kirchnerismo y aliados..,#007caf,diputados,gsoto@diputados.gob.ar,"SOTO,  Gladys Beatriz",FRENTE PARA LA VICTORIA
37,542,Kirchnerismo y aliados..,#007caf,diputados, jtineo@diputados.gob.ar,"TINEO,  Javier Héctor",FRENTE PARA LA VICTORIA
38,545,Kirchnerismo y aliados..,#007caf,diputados, htomas@diputados.gob.ar,"TOMAS,  Héctor Daniel",FRENTE PARA LA VICTORIA
39,1326,Kirchnerismo y aliados..,#007caf,diputados, junac@diputados.gob.ar,"UÑAc,  JosÉ RubÉN.",FRENTE PARA LA VICTORIA
40,565,,,diputados,,"VEAUTE,  Mariana Alejandra",FRENTE CÍVICO Y SOCIAL DE CATAMARCA
41,570,Kirchnerismo y aliados..,#007caf,diputados,jvilarino@diputados.gob.ar,"VILARIÑO,  José Antonio",FRENTE PARA LA VICTORIA
42,571,Kirchnerismo y aliados..,#007caf,diputados,jvilla@diputados.gob.ar,"VILLA,  José Antonio",FRENTE PARA LA VICTORIA
43,574,,,diputados,,"WAYAR,  Walter Raúl",FRENTE PERONISTA FEDERAL
44,578,,,diputados,,"YARADE,  Rodolfo Fernando",FRENTE PARA LA VICTORIA
45,579,,,diputados,,"YAZBEK,  Rubén David",FRENTE PARA LA VICTORIA
46,582,Kirchnerismo y aliados..,#007caf,diputados,mzamarreno@diputados.gob.ar,"ZAMARREÑO,  María Eugenia",FRENTE PARA LA VICTORIA
47,585,Kirchnerismo y aliados..,#007caf,diputados,cziebart@diputados.gob.ar,"ZIEBART,  Cristina Isabel",FRENTE PARA LA VICTORIA
48,519,Kirchnerismo y aliados..,#007caf,diputados,asegarra@diputados.gob.ar,"SEGARRA,  Adela Rosa",FRENTE PARA LA VICTORIA
49,518,Massismo y aliados,#b185b7,diputados,rsciutto@diputados.gob.ar,"SCIUTTO,  Rubén Darío",FRENTE PARA LA VICTORIA
50,510,Kirchnerismo y aliados..,#007caf,diputados,wsantillan@diputados.gob.ar,"SANTILLÁN,  Walter Marcelo",FRENTE PARA LA VICTORIA
51,667,Kirchnerismo y aliados..,#007caf,diputados,apuiggros@diputados.gob.ar,"puiggrós,  adriana",FRENTE PARA LA VICTORIA
52,462,Kirchnerismo y aliados..,#007caf,diputados, craimundi@diputados.gob.ar,"RAIMUNDI,  Carlos Alberto",NUEVO ENCUENTRO
53,465,Kirchnerismo y aliados..,#007caf,diputados,hrecalde@diputados.gob.ar,"RECALDE,  Héctor Pedro",FRENTE PARA LA VICTORIA
54,466,Kirchnerismo y aliados..,#007caf,diputados, oredczuk@diputados.gob.ar,"REDCZUK,  Oscar Felipe",FRENTE PARA LA VICTORIA
55,467,,,diputados,,"REGAZZOLI,  María Cristina",PARTIDO JUSTICIALISTA LA PAMPA
56,475,Kirchnerismo y aliados..,#007caf,diputados,lrios@diputados.gob.ar,"RÍOS,  Liliana María",FRENTE PARA LA VICTORIA
57,474,,,diputados,,"RIOS,  Fabián",FRENTE PARA LA VICTORIA
58,478,Kirchnerismo y aliados..,#007caf,diputados,srisko@diputados.gob.ar,"RISKO,  Silvia Lucrecia",FRENTE PARA LA VICTORIA
59,481,Kirchnerismo y aliados..,#007caf,diputados,rrivarola@diputados.gob.ar,"RIVAROLA,  Rubén Armando",FRENTE PARA LA VICTORIA
60,482,Kirchnerismo y aliados..,#007caf,diputados,jrivas@diputados.gob.ar,"RIVAS,  Jorge",FRENTE PARA LA VICTORIA
61,484,,,diputados,,"ROBLEDO,  Roberto Ricardo",PARTIDO JUSTICIALISTA LA PAMPA
62,1291,,,diputados,,"Rossi,  AgustíN",
63,502,Kirchnerismo y aliados..,#007caf,diputados, aruiz@diputados.gob.ar,"RUIZ,  Aída Delia",FRENTE CÍVICO POR SANTIAGO
64,506,,,diputados,,"SALIM,  Juan Arturo",FRENTE PARA LA VICTORIA
65,586,Kirchnerismo y aliados..,#007caf,diputados,aziegler@diputados.gob.ar,"ZIEGLER,  Alex Roberto",FRENTE PARA LA VICTORIA
66,628,Kirchnerismo y aliados..,#007caf,diputados,cheller@diputados.gob.ar,"heller,  carlos salomón",NUEVO ENCUENTRO
67,1,Kirchnerismo y aliados..,#007caf,diputados,nabdaladem@diputados.gob.ar,"Abdala de Matarazzo,  Norma Amanda",FRENTE CÍVICO POR SANTIAGO
68,103,Kirchnerismo y aliados..,#007caf,diputados, ecalcagno@diputados.gob.ar,"CALCAGNO,  Eric",FRENTE PARA LA VICTORIA
69,117,Kirchnerismo y aliados..,#007caf,diputados, rcarlotto@diputados.gob.ar,"CARLOTTO,  Remo Gerardo",FRENTE PARA LA VICTORIA
70,118,Kirchnerismo y aliados..,#007caf,diputados, gcarmona@diputados.gob.ar,"CARMONA,  Guillermo Ramón",FRENTE PARA LA VICTORIA
71,121,Kirchnerismo y aliados..,#007caf,diputados,mcarrillo@diputados.gob.ar,"CARRILLO,  María Del Carmen",FRENTE PARA LA VICTORIA
72,124,Kirchnerismo y aliados..,#007caf,diputados,gcaselles@diputados.gob.ar,"CASELLES.,  Graciela María",FRENTE PARA LA VICTORIA
73,129,,,diputados,julio.catalanmagni@senado.gov.ar ,"CATALAN MAGNI.,  Julio César",FRENTE PARA LA VICTORIA
74,132,Kirchnerismo y aliados..,#007caf,diputados, jcejas@diputados.gob.ar,"CEJAS,  Jorge Alberto",FRENTE PARA LA VICTORIA
75,136,,,diputados,,"CHIENO,  María Elena",FRENTE PARA LA VICTORIA
76,139,Kirchnerismo y aliados..,#007caf,diputados,aciampini@diputados.gob.ar,"CIAMPINI,  José Alberto",FRENTE PARA LA VICTORIA
77,141,,,diputados,,"CIGOGNA,  Luis Francisco Jorge",FRENTE PARA LA VICTORIA
78,143,Kirchnerismo y aliados..,#007caf,diputados,mcleri@diputados.gob.ar,"CLERI,  Marcos",FRENTE PARA LA VICTORIA
79,147,Otros,#A6A6A6,diputados,acomelli@diputados.gob.ar,"COMELLI,  Alicia Marcela",MOVIMIENTO POPULAR NEUQUINO
80,149,Kirchnerismo y aliados..,#007caf,diputados,dconti@diputados.gob.ar,"CONTI,  Diana Beatriz",FRENTE PARA LA VICTORIA
81,150,Kirchnerismo y aliados..,#007caf,diputados,mcontrera@diputados.gob.ar,"CONTRERA,  Mónica Graciela",FRENTE PARA LA VICTORIA
82,98,,,diputados,,"BRUE,  Daniel Agustín",FRENTE CÍVICO POR SANTIAGO
83,96,Kirchnerismo y aliados..,#007caf,diputados, ibromberg@diputados.gob.ar,"BROMBERG,  Isaac Benjamín",FRENTE PARA LA VICTORIA
84,94,,,diputados,,"BRILLO,  José Ricardo",MOVIMIENTO POPULAR NEUQUINO
85,14,,,diputados,,"ALBRIEU,  Oscar Edmundo Nicolas",FRENTE PARA LA VICTORIA
86,23,Kirchnerismo y aliados..,#007caf,diputados,malonso@diputados.gob.ar,"ALONSO,  María Luz",FRENTE PARA LA VICTORIA
87,34,,,diputados,,"ARENA,  Celia Isabel",FRENTE PARA LA VICTORIA
88,40,Kirchnerismo y aliados..,#007caf,diputados,aarregui@diputados.gob.ar,"ARREGUI,  Andrés Roberto",FRENTE PARA LA VICTORIA
89,48,Kirchnerismo y aliados..,#007caf,diputados,havoscan@diputados.gob.ar,"AVOSCÁN,  Herman",FRENTE PARA LA VICTORIA
90,52,Kirchnerismo y aliados..,#007caf,diputados, mbalcedo@diputados.gob.ar,"BALCEDO,  María Ester",FRENTE PARA LA VICTORIA
91,58,,,diputados,,"BARRANDEGUY,  Raúl Enrique",FRENTE PARA LA VICTORIA
92,63,Kirchnerismo y aliados..,#007caf,diputados, lbasterra@diputados.gob.ar,"BASTERRA,  Luis Eugenio",FRENTE PARA LA VICTORIA
93,67,Kirchnerismo y aliados..,#007caf,diputados,nbedano@diputados.gob.ar,"BEDANO,  Nora Esther",FRENTE PARA LA VICTORIA
94,72,,,diputados,,"BERNAL,  María Eugenia",FRENTE PARA LA VICTORIA
95,76,,,diputados,,"BERTONE,  Rosana Andrea",FRENTE PARA LA VICTORIA
96,81,Kirchnerismo y aliados..,#007caf,diputados,mbianchi@diputados.gob.ar,"BIANCHI,  María del Carmen",FRENTE PARA LA VICTORIA
97,83,Kirchnerismo y aliados..,#007caf,diputados,gbidegain@diputados.gob.ar,"BIDEGAIN,  Gloria Mercedes",FRENTE PARA LA VICTORIA
98,93,Kirchnerismo y aliados..,#007caf,diputados,mbrawer@diputados.gob.ar,"BRAWER,  Mara",FRENTE PARA LA VICTORIA
99,152,,,diputados,,"CORDOBA,  Stella Maris",FRENTE PARA LA VICTORIA
100,161,,,diputados,,"CURRILEN,  Oscar Rubén",FRENTE PARA LA VICTORIA
101,238,,,diputados,silvina.garcialarraburu@senado.gov.ar ,"GARCIA LARRABURU.,  Silvina Marcela",FRENTE PARA LA VICTORIA
102,240,Kirchnerismo y aliados..,#007caf,diputados,agarcia@diputados.gob.ar,"GARCÍA,  Andrea Fabiana",FRENTE PARA LA VICTORIA
103,242,Kirchnerismo y aliados..,#007caf,diputados,mgarcia@diputados.gob.ar,"GARCÍA,  María Teresa",FRENTE PARA LA VICTORIA
104,247,,,diputados,,"GARRAMUÑO,  Jorge Alberto",MOVIMIENTO POPULAR FUEGUINO
105,250,Kirchnerismo y aliados..,#007caf,diputados,cgdansky@diputados.gob.ar,"GDANSKY,  Carlos Enrique",FRENTE PARA LA VICTORIA
106,254,Kirchnerismo y aliados..,#007caf,diputados,cgiaccone@diputados.gob.ar,"GIACCONE,  Claudia Alejandra",FRENTE PARA LA VICTORIA
107,255,Kirchnerismo y aliados..,#007caf,diputados,dgiacomino@diputados.gob.ar,"GIACOMINO,  Daniel Oscar",FRENTE PARA LA VICTORIA
108,665,Kirchnerismo y aliados..,#007caf,diputados,ggiannettasio@diputados.gob.ar,"gianettasio,  graciela",FRENTE PARA LA VICTORIA
109,268,Kirchnerismo y aliados..,#007caf,diputados, jgonzalez@diputados.gob.ar,"GONZALEZ,  Juan Dante",FRENTE PARA LA VICTORIA
110,270,,,diputados,nancy.gonzalez@senado.gob.ar ,"GONZALEZ.,  Nancy Susana",FRENTE PARA LA VICTORIA
111,272,Kirchnerismo y aliados..,#007caf,diputados, dgranados@diputados.gob.ar,"GRANADOS,  Dulce",FRENTE PARA LA VICTORIA
112,274,Kirchnerismo y aliados..,#007caf,diputados,lgrosso@diputados.gob.ar,"GROSSO.,  Leonardo",FRENTE PARA LA VICTORIA
113,275,Kirchnerismo y aliados..,#007caf,diputados,jguccione@diputados.gob.ar,"GUCCIONE,  José Daniel",FRENTE PARA LA VICTORIA
114,280,Kirchnerismo y aliados..,#007caf,diputados,mgutierrez@diputados.gob.ar,"GUTIÉRREZ,  Mónica Edith",FRENTE PARA LA VICTORIA
115,283,Kirchnerismo y aliados..,#007caf,diputados,gharispe@diputados.gob.ar,"HARISPE,  Gastón",NUEVO ENCUENTRO
116,657,Kirchnerismo y aliados..,#007caf,diputados,mgallardo@diputados.gob.ar,"gallardo,  miriam",FRENTE PARA LA VICTORIA
117,229,Kirchnerismo y aliados..,#007caf,diputados,ffrancioni@diputados.gob.ar,"FRANCIONI,  Fabián Marcelo",FRENTE PARA LA VICTORIA
118,166,Kirchnerismo y aliados..,#007caf,diputados,adato@diputados.gob.ar,"DATO,  Alfredo Carlos",FRENTE PARA LA VICTORIA
119,177,Kirchnerismo y aliados..,#007caf,diputados, edepedro@diputados.gob.ar,"de PEDRO,  Eduardo Enrique",FRENTE PARA LA VICTORIA
120,182,Kirchnerismo y aliados..,#007caf,diputados,edepetri@diputados.gob.ar,"DEPETRI,  Edgardo Fernando",FRENTE PARA LA VICTORIA
121,185,Kirchnerismo y aliados..,#007caf,diputados, jditullio@diputados.gob.ar,"di TULLIO,  Juliana",FRENTE PARA LA VICTORIA
122,186,Kirchnerismo y aliados..,#007caf,diputados, jdiaz@diputados.gob.ar,"DIAZ BANCALARI,  José María",FRENTE PARA LA VICTORIA
123,187,Kirchnerismo y aliados..,#007caf,diputados, jdiazr@diputados.gob.ar,"DÍAZ ROIG,  Juan Carlos",FRENTE PARA LA VICTORIA
124,193,Kirchnerismo y aliados..,#007caf,diputados,cdonkin@diputados.gob.ar,"DONKIN,  Carlos Guillermo",FRENTE PARA LA VICTORIA
125,198,Kirchnerismo y aliados..,#007caf,diputados,oelorriaga@diputados.gob.ar,"ELORRIAGA,  Osvaldo Enrique",FRENTE PARA LA VICTORIA
126,207,Kirchnerismo y aliados..,#007caf,diputados,rfeletti@diputados.gob.ar,"FELETTI,  Roberto José",FRENTE PARA LA VICTORIA
127,226,,,diputados,,"FORCONI,  Juan Carlos",FRENTE PARA LA VICTORIA
128,224,,,diputados,maria.fiorevinuales@senado.gov.ar ,"FIORE VIÑUALES.,  María Cristina del Valle",RENOVADOR DE SALTA
129,1176,Kirchnerismo y aliados..,#007caf,diputados,aferreyra@diputados.gob.ar,"Ferreyra,  Araceli Susana Del Rosario",
130,215,,,diputados,,"FERRA de BARTOL,  Margarita",FRENTE PARA LA VICTORIA
131,211,Kirchnerismo y aliados..,#007caf,diputados,anabel.fernandezsagasti@senado.gob.ar ,"FERNÁNDEZ SAGASTI.,  Anabel",FRENTE PARA LA VICTORIA
132,208,,,diputados,,"FELIX,  Omar",FRENTE PARA LA VICTORIA
133,304,,,diputados,,"JURI,  Mariana",UNIÓN CÍVICA RADICAL
134,281,,,diputados,,"GUZMAN,  Olga Elizabeth",MOVIMIENTO POPULAR NEUQUINO
135,1317,UNEN - FAP - UCR,#8eab35,diputados,mfiad@diputados.gob.ar,"Fiad,  Mario R.",UNIÓN CÍVICA RADICAL
136,122,UNEN - FAP - UCR,#8eab35,diputados,ecarrio@diputados.gob.ar,"CARRIÓ,  Elisa María",COALICIÓN CÍVICA - ARI
137,57,UNEN - FAP - UCR,#8eab35,diputados,obarchetta@diputados.gob.ar,"BARCHETTA,  Omar Segundo",PARTIDO SOCIALISTA
138,580,,,diputados,,"YOMA,  Jorge Raul",FRENTE PARA LA VICTORIA
139,350,UNEN - FAP - UCR,#8eab35,diputados, vmaldonado@diputados.gob.ar,"MALDONADO,  Víctor Hugo",UNIÓN CÍVICA RADICAL
140,452,UNEN - FAP - UCR,#8eab35,diputados,aportela@diputados.gob.ar,"PORTELA,  Agustín Alberto",UNIÓN CÍVICA RADICAL
141,463,UNEN - FAP - UCR,#8eab35,diputados,erasino@diputados.gob.ar,"RASINO,  Élida Elena",PARTIDO SOCIALISTA
142,526,,,diputados,fernando.solanas@senado.gov.ar ,"SOLANAS.,  Fernando Ezequiel",PROYECTO SUR
143,511,UNEN - FAP - UCR,#8eab35,diputados,esantin@diputados.gob.ar,"SANTÍN,  Eduardo",UNIÓN CÍVICA RADICAL
144,504,,,diputados,,"SABBATELLA,  Martín",NUEVO ENCUENTRO
145,486,,,diputados,,"RODRIGUEZ,  Marcela Virginia",DEMOCRACIA IGUALITARIA Y PARTICIPATIVA
146,483,Massismo y aliados,#b185b7,diputados,aroberti@diputados.gob.ar,"ROBERTI,  Alberto Oscar",FRENTE RENOVADOR PERONISTA
147,405,UNEN - FAP - UCR,#8eab35,diputados,mnegri@diputados.gob.ar,"NEGRI,  Mario Raúl",UNIÓN CÍVICA RADICAL
148,409,,,diputados,,"OBIGLIO,  Julián Martín",PRO
149,410,,,diputados,,"OCAÑA,  Maria Graciela",UNIDAD PARA EL DESARROLLO SOCIAL Y LA
150,415,,,diputados,,"ORSOLINI,  Pablo Eduardo",UNIÓN CÍVICA RADICAL
151,422,,,diputados,,"PANSA,  Sergio Horacio",FRENTE PERONISTA
152,424,,,diputados,,"PARADA,  Liliana Beatriz",UNIDAD POPULAR
153,430,UNEN - FAP - UCR,#8eab35,diputados,fperalta@diputados.gob.ar,"PERALTA,  Fabián Francisco",GEN
154,434,,,diputados,,"PEREZ,  Alberto José",FRENTE PERONISTA
155,444,,,diputados,,"PIEMONTE,  Héctor Horacio",COALICIÓN CÍVICA - ARI
156,447,Pro y aliados,#fbd95b,diputados,federico.pinedo@senado.gob.ar ,"PINEDO.,  Federico",PRO
157,400,Peronismo no kirchnerista,#f6a619,diputados,emuller@diputados.gob.ar,"MULLER,  Edgar Raúl",FRENTE PERONISTA
158,687,Massismo y aliados,#b185b7,diputados,fmoyano@diputados.gob.ar,"moyano,  facundo",FRENTE PARA LA VICTORIA
159,349,Pro y aliados,#fbd95b,diputados,smajdalani@diputados.gob.ar,"MAJDALANI,  Silvia Cristina",PRO
160,362,,,diputados,ernesto.martinezcarignano@senado.gov.ar,"Martínez.,  Ernesto Félix",FRENTE CÍVICO - CÓRDOBA
161,697,Izquierda,#D23939,diputados, clozano@diputados.gob.ar,"lozano,  claudio",UNIDAD POPULAR
162,1320,UNEN - FAP - UCR,#8eab35,diputados,jmartinez@diputados.gob.ar,"MartÍNez,  Julio",UNIÓN CÍVICA RADICAL
163,365,Pro y aliados,#fbd95b,diputados,smartinez@diputados.gob.ar,"MARTÍNEZ,  Soledad",PRO
164,368,,,diputados,,"MAZZARELLA,  Susana del Valle",FRENTE CÍVICO - CÓRDOBA
165,379,,,diputados,,"MICHETTI,  Marta Gabriela",PRO
166,380,,,diputados,,"MILMAN,  Gerardo Fabián",GEN
167,383,,,diputados,,"MOLAS,  Pedro Omar",FRENTE CÍVICO Y SOCIAL DE CATAMARCA
168,398,,,diputados,,"MOUILLERON,  Roberto Mario",UNIÓN PERONISTA
169,450,Peronismo no kirchnerista,#f6a619,diputados,oplaini@diputados.gob.ar,"PLAINI,  Francisco Omar",FRENTE PARA LA VICTORIA
170,454,Pro y aliados,#fbd95b,diputados,rpradines@diputados.gob.ar,"PRADINES,  Roberto Arturo",DEMÓCRATA DE MENDOZA
171,456,Otros,#A6A6A6,diputados, rpucheta@diputados.gob.ar,"PUCHETA,  Ramona",SOCIALISTA DEL MIJD
172,541,,,diputados,,"THOMAS,  Enrique Luis",FRENTE PERONISTA
173,547,Pro y aliados,#fbd95b,diputados, ptonelli@diputados.gob.ar,"TONELLI,  Pablo Gabriel",PRO
174,551,Pro y aliados,#fbd95b,diputados,atriaca@diputados.gob.ar,"TRIACA,  Alberto Jorge",PRO
175,553,,,diputados,,"TUNESSI,  Juan Pedro",UNIÓN CÍVICA RADICAL
176,558,UNEN - FAP - UCR,#8eab35,diputados,jvalinotto@diputados.gob.ar,"VALINOTTO,  Jorge Anselmo",FRENTE CÍVICO - CÓRDOBA
177,560,UNEN - FAP - UCR,#8eab35,diputados,evaquie@diputados.gob.ar,"VAQUIÉ,  Enrique Andrés",UNIÓN CÍVICA RADICAL
178,569,,,diputados,,"VIDELA,  Nora Esther",FRENTE PERONISTA
179,572,UNEN - FAP - UCR,#8eab35,diputados,gvillata@diputados.gob.ar,"VILLATA,  Graciela Susana",FRENTE CÍVICO - CÓRDOBA
180,577,,,diputados,,"YAGÛE,  Linda Cristina",UNIÓN CÍVICA RADICAL
181,581,UNEN - FAP - UCR,#8eab35,diputados,jzabalza@diputados.gob.ar,"ZABALZA,  Juan Carlos",PARTIDO SOCIALISTA
182,540,,,diputados,aterada@diputados.gob.ar,"TERADA,  Alicia",COALICIÓN CÍVICA - ARI
183,535,,,diputados,,"STORANI,  María Luisa",UNIÓN CÍVICA RADICAL
184,457,,,diputados,,"PUERTA,  Federico Ramón",FRENTE PERONISTA
185,464,,,diputados,,"RE,  Hilma Leonor",COALICIÓN CÍVICA - ARI
186,472,Izquierda,#D23939,diputados,ariestra@diputados.gob.ar,"RIESTRA,  Antonio Sabino",UNIDAD POPULAR
187,480,,,diputados,,"RIVARA,  Raúl Alberto",UNIÓN PERONISTA
188,488,UNEN - FAP - UCR,#8eab35,diputados, frogel@diputados.gob.ar,"ROGEL,  Fabián Dulio",UNIÓN CÍVICA RADICAL
189,500,,,diputados,crucci@diputados.gob.ar,"RUCCI.,  Claudia Monica",FRENTE PERONISTA
190,505,UNEN - FAP - UCR,#8eab35,diputados,lsacca@diputados.gob.ar,"SACCA,  Luis Fernando",UNIÓN CÍVICA RADICAL
191,763,Pro y aliados,#fbd95b,diputados,csliermann@diputados.gob.ar,"Schmidt Liermann, Cornelia",PRO
192,672,Massismo y aliados,#b185b7,diputados, fsola@diputados.gob.ar,"solá,  felipe",UNIÓN PERONISTA
193,533,UNEN - FAP - UCR,#8eab35,diputados, mstolbizer@diputados.gob.ar,"STOLBIZER,  Margarita Rosa",GEN
194,291,,,diputados,,"IBARRA,  Eduardo Mauricio",UNIÓN POR SAN JUAN
195,8,UNEN - FAP - UCR,#8eab35,diputados,oaguad@diputados.gob.ar,"Aguad,  Oscar Raúl",UNIÓN CÍVICA RADICAL
196,75,,,diputados,,"BERTOL,  Paula María",PRO
197,80,Peronismo no kirchnerista,#f6a619,diputados,ibianchi@diputados.gob.ar,"BIANCHI,  Ivana María",FRENTE PERONISTA
198,84,UNEN - FAP - UCR,#8eab35,diputados,bbiellac@diputados.gob.ar,"BIELLA CALVET,  Bernardo José",U.DE.SO. SALTA
199,88,,,diputados,,"BLANCO de PERALTA,  Blanca",FRENTE PARA LA VICTORIA
200,95,,,diputados,,"BRIZUELA Y DORIA DE CARA,  Olga Inés",UNIÓN CÍVICA RADICAL
201,97,Peronismo no kirchnerista,#f6a619,diputados,cbrown@diputados.gob.ar,"BROWN,  Carlos Ramón",FRENTE PERONISTA
202,100,Pro y aliados,#fbd95b,diputados,pbullrich@diputados.gob.ar,"BULLRICH,  Patricia",UNIÓN POR TODOS
203,101,UNEN - FAP - UCR,#8eab35,diputados,rburyaile@diputados.gob.ar,"BURYAILE,  Ricardo",UNIÓN CÍVICA RADICAL
204,108,Massismo y aliados,#b185b7,diputados,gcamano@diputados.gob.ar,"CAMAÑO,  Graciela",FRENTE PERONISTA
205,116,,,diputados,,"CARDELLI,  Jorge Justo",PROYECTO SUR
206,120,,,diputados,,"CARRANZA,  Carlos Alberto",FRENTE PERONISTA
207,123,UNEN - FAP - UCR,#8eab35,diputados,jcasanas@diputados.gob.ar,"CASAÑAS,  Juan Francisco",UNIÓN CÍVICA RADICAL
208,128,,,diputados,,"CASTAÑON,  Hugo",UNIÓN CÍVICA RADICAL
209,71,,,diputados,,"BENEDETTI,  Atilio Francisco Salvador",UNIÓN CÍVICA RADICAL
210,65,UNEN - FAP - UCR,#8eab35,diputados,mbazze@diputados.gob.ar,"BAZZE,  Miguel Ángel",UNIÓN CÍVICA RADICAL
211,10,Peronismo no kirchnerista,#f6a619,diputados,laguilar@diputados.gob.ar,"AGUILAR,  Lino Walter",FRENTE PERONISTA
